GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-svc,com.ebidding.service,ServiceApplication,5,3,0,0,2,1,1,1,1,1
account-svc,com.ebidding.service.controller,AccountController,15,3,0,0,3,1,1,1,1,1
account-svc,com.ebidding.service.domain,Account,214,0,38,0,8,0,34,0,15,0
account-svc,com.ebidding.service.domain,Account.AccountBuilder,45,0,0,0,1,0,7,0,7,0
account-svc,com.ebidding.service.domain,AccountRole,0,24,0,0,0,2,0,1,0,1
account-svc,com.ebidding.service.service,AccountService,8,3,0,0,1,1,1,1,1,1
account-svc,com.ebidding.service.config,CommonConfig,0,3,0,0,0,1,0,1,0,1
account-svc,com.ebidding.service.config,SwaggerConfig,111,0,0,0,33,0,3,0,3,0
